"","colname","nlevels","position","width","digits","exp"
"1","V1",0,1,1,0,0
"2","V2",0,3,1,0,0
"3","V3",0,5,1,0,0
"4","V4",0,7,1,0,0
"5","V5",0,9,1,0,0
"6","V6",0,11,1,0,0
"7","V7",0,13,1,0,0
"8","V8",0,15,1,0,0
"9","V9",0,17,1,0,0
"10","V10",0,19,1,0,0
"11","V11",0,21,1,0,0
"12","V12",0,23,1,0,0
"13","V13",0,25,1,0,0
"14","V14",0,27,1,0,0
"15","V15",0,29,1,0,0
"16","V16",0,31,1,0,0
"17","V17",0,33,1,0,0
"18","V18",0,35,1,0,0
"19","V19",0,37,1,0,0
"20","V20",0,39,1,0,0
"21","V21",0,41,1,0,0
"22","V22",0,43,1,0,0
"23","V23",0,45,1,0,0
"24","V24",0,47,1,0,0
"25","V25",0,49,1,0,0
"26","V26",0,51,1,0,0
"27","V27",0,53,1,0,0
"28","V28",0,55,1,0,0
"29","V29",0,57,1,0,0
"30","V30",0,59,1,0,0
"31","V31",0,61,1,0,0
"32","V32",0,63,1,0,0
"33","V33",0,65,1,0,0
"34","V34",0,67,1,0,0
"35","V35",0,69,1,0,0
"36","V36",0,71,1,0,0
"37","V37",0,73,1,0,0
"38","V38",0,75,1,0,0
"39","V39",0,77,1,0,0
"40","V40",0,79,1,0,0
"41","V41",0,81,1,0,0
"42","V42",0,83,1,0,0
"43","V43",0,85,1,0,0
"44","V44",0,87,1,0,0
"45","V45",0,89,1,0,0
"46","V46",0,91,1,0,0
"47","V47",0,93,1,0,0
